([Action(name='c', args={'filters': 64, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.413)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.118)
([Action(name='c', args={'filters': 32, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.108)
([Action(name='c', args={'filters': 1, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.1)
([Action(name='c', args={'filters': 64, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.483)
([Action(name='c', args={'filters': 32, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.121)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.094)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.117)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.107)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.133)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.103)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.202)
([Action(name='c', args={'filters': 32, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.275)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.427)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.088)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.095)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.098)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.098)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.102)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.121)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.48)
([Action(name='c', args={'filters': 8, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.111)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.084)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.114)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.323)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.344)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.402)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.234)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.092)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.079)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.09)
([Action(name='c', args={'filters': 8, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.314)
([Action(name='c', args={'filters': 1, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.104)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.374)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.112)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.087)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.092)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.619)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.079)
([Action(name='c', args={'filters': 64, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.074)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.11)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.086)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-06})], 0.283)
([Action(name='c', args={'filters': 1, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.095)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.453)
([Action(name='c', args={'filters': 1, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.132)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-10})], 0.086)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.098)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-06})], 0.127)
([Action(name='c', args={'filters': 1, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.137)
([Action(name='c', args={'filters': 8, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.09)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-09})], 0.081)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.348)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.108)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.081)
([Action(name='c', args={'filters': 32, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.379)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.079)
([Action(name='c', args={'filters': 8, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.367)
